# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are:

# C=  Circular tube
# H=  H- or I-profile
# R=  Rectangular
# RH= Rectangular hollow
# U=  U-profile

# Additional profile types must be implemented in ArchProfile.py first

###########################################


# Circular Hollow Sections

# Category,Name,C,Outside diameter,Thickness

CHS,CHS21.3x2.6,C,21.3,2.6
CHS,CHS21.3x2.9,C,21.3,2.9
CHS,CHS21.3x3.2,C,21.3,3.2
CHS,CHS26.9x2.6,C,26.9,2.6
CHS,CHS26.9x2.9,C,26.9,2.9
CHS,CHS26.9x3.2,C,26.9,3.2
CHS,CHS26.9x3.6,C,26.9,3.6
CHS,CHS33.7x2.6,C,33.7,2.6
CHS,CHS33.7x2.9,C,33.7,2.9
CHS,CHS33.7x3.2,C,33.7,3.2
CHS,CHS33.7x3.6,C,33.7,3.6
CHS,CHS33.7x4,C,33.7,4
CHS,CHS33.7x4.5,C,33.7,4.5
CHS,CHS42.4x2.6,C,42.4,2.6
CHS,CHS42.4x2.9,C,42.4,2.9
CHS,CHS42.4x3.2,C,42.4,3.2
CHS,CHS42.4x3.6,C,42.4,3.6
CHS,CHS42.4x4,C,42.4,4
CHS,CHS42.4x4.5,C,42.4,4.5
CHS,CHS48.3x2.6,C,48.3,2.6
CHS,CHS48.3x2.9,C,48.3,2.9
CHS,CHS48.3x3.2,C,48.3,3.2
CHS,CHS48.3x3.6,C,48.3,3.6
CHS,CHS48.3x4,C,48.3,4
CHS,CHS48.3x4.5,C,48.3,4.5
CHS,CHS48.3x5,C,48.3,5
CHS,CHS48.3x5.6,C,48.3,5.6
CHS,CHS48.3x6.3,C,48.3,6.3
CHS,CHS60.3x2.6,C,60.3,2.6
CHS,CHS60.3x2.9,C,60.3,2.9
CHS,CHS60.3x3.2,C,60.3,3.2
CHS,CHS60.3x3.6,C,60.3,3.6
CHS,CHS60.3x4,C,60.3,4
CHS,CHS60.3x4.5,C,60.3,4.5
CHS,CHS60.3x5,C,60.3,5
CHS,CHS60.3x5.6,C,60.3,5.6
CHS,CHS60.3x6.3,C,60.3,6.3
CHS,CHS60.3x7.1,C,60.3,7.1
CHS,CHS60.3x8,C,60.3,8
CHS,CHS76.1x2.9,C,76.1,2.9
CHS,CHS76.1x3.2,C,76.1,3.2
CHS,CHS76.1x3.6,C,76.1,3.6
CHS,CHS76.1x4,C,76.1,4
CHS,CHS76.1x4.5,C,76.1,4.5
CHS,CHS76.1x5,C,76.1,5
CHS,CHS76.1x5.6,C,76.1,5.6
CHS,CHS76.1x6.3,C,76.1,6.3
CHS,CHS76.1x7.1,C,76.1,7.1
CHS,CHS76.1x8,C,76.1,8
CHS,CHS88.9x3.2,C,88.9,3.2
CHS,CHS88.9x3.6,C,88.9,3.6
CHS,CHS88.9x4,C,88.9,4
CHS,CHS88.9x4.5,C,88.9,4.5
CHS,CHS88.9x5,C,88.9,5
CHS,CHS88.9x5.6,C,88.9,5.6
CHS,CHS88.9x6.3,C,88.9,6.3
CHS,CHS88.9x7.1,C,88.9,7.1
CHS,CHS88.9x8,C,88.9,8
CHS,CHS88.9x10,C,88.9,10
CHS,CHS101.6x3.6,C,101.6,3.6
CHS,CHS101.6x4,C,101.6,4
CHS,CHS101.6x4.5,C,101.6,4.5
CHS,CHS101.6x5,C,101.6,5
CHS,CHS101.6x5.6,C,101.6,5.6
CHS,CHS101.6x6.3,C,101.6,6.3
CHS,CHS101.6x7.1,C,101.6,7.1
CHS,CHS101.6x8,C,101.6,8
CHS,CHS101.6x10,C,101.6,10
CHS,CHS114.3x3.6,C,114.3,3.6
CHS,CHS114.3x4,C,114.3,4
CHS,CHS114.3x4.5,C,114.3,4.5
CHS,CHS114.3x5,C,114.3,5
CHS,CHS114.3x5.6,C,114.3,5.6
CHS,CHS114.3x6.3,C,114.3,6.3
CHS,CHS114.3x7.1,C,114.3,7.1
CHS,CHS114.3x8,C,114.3,8
CHS,CHS114.3x10,C,114.3,10
CHS,CHS139.7x3.6,C,139.7,3.6
CHS,CHS139.7x4,C,139.7,4
CHS,CHS139.7x4.5,C,139.7,4.5
CHS,CHS139.7x5,C,139.7,5
CHS,CHS139.7x5.6,C,139.7,5.6
CHS,CHS139.7x6.3,C,139.7,6.3
CHS,CHS139.7x7.1,C,139.7,7.1
CHS,CHS139.7x8,C,139.7,8
CHS,CHS139.7x10,C,139.7,10
CHS,CHS168.3x5,C,168.3,5
CHS,CHS168.3x5.6,C,168.3,5.6
CHS,CHS168.3x6.3,C,168.3,6.3
CHS,CHS168.3x7.1,C,168.3,7.1
CHS,CHS168.3x8,C,168.3,8
CHS,CHS168.3x10,C,168.3,10
CHS,CHS168.3x11,C,168.3,11
CHS,CHS168.3x12.5,C,168.3,12.5
CHS,CHS193.7x5,C,193.7,5
CHS,CHS193.7x5.6,C,193.7,5.6
CHS,CHS193.7x6.3,C,193.7,6.3
CHS,CHS193.7x7.1,C,193.7,7.1
CHS,CHS193.7x8,C,193.7,8
CHS,CHS193.7x10,C,193.7,10
CHS,CHS193.7x11,C,193.7,11
CHS,CHS193.7x12.5,C,193.7,12.5
CHS,CHS193.7x14.2,C,193.7,14.2
CHS,CHS193.7x16,C,193.7,16
CHS,CHS219.1x4.5,C,219.1,4.5
CHS,CHS219.1x5,C,219.1,5
CHS,CHS219.1x5.6,C,219.1,5.6
CHS,CHS219.1x6.3,C,219.1,6.3
CHS,CHS219.1x7.1,C,219.1,7.1
CHS,CHS219.1x8,C,219.1,8
CHS,CHS219.1x10,C,219.1,10
CHS,CHS219.1x11,C,219.1,11
CHS,CHS219.1x12.5,C,219.1,12.5
CHS,CHS219.1x14.2,C,219.1,14.2
CHS,CHS219.1x16,C,219.1,16
CHS,CHS244.5x5,C,244.5,5
CHS,CHS244.5x5.6,C,244.5,5.6
CHS,CHS244.5x6.3,C,244.5,6.3
CHS,CHS244.5x7.1,C,244.5,7.1
CHS,CHS244.5x8,C,244.5,8
CHS,CHS244.5x10,C,244.5,10
CHS,CHS244.5x11,C,244.5,11
CHS,CHS244.5x12.5,C,244.5,12.5
CHS,CHS244.5x14.2,C,244.5,14.2
CHS,CHS244.5x16,C,244.5,16
CHS,CHS273x5,C,273,5
CHS,CHS273x5.6,C,273,5.6
CHS,CHS273x6.3,C,273,6.3
CHS,CHS273x7.1,C,273,7.1
CHS,CHS273x8,C,273,8
CHS,CHS273x10,C,273,10
CHS,CHS273x11,C,273,11
CHS,CHS273x12.5,C,273,12.5
CHS,CHS273x14.2,C,273,14.2
CHS,CHS273x16,C,273,16
CHS,CHS323.9x5,C,323.9,5
CHS,CHS323.9x5.6,C,323.9,5.6
CHS,CHS323.9x6.3,C,323.9,6.3
CHS,CHS323.9x7.1,C,323.9,7.1
CHS,CHS323.9x8,C,323.9,8
CHS,CHS323.9x10,C,323.9,10
CHS,CHS323.9x11,C,323.9,11
CHS,CHS323.9x12.5,C,323.9,12.5
CHS,CHS323.9x14.2,C,323.9,14.2
CHS,CHS323.9x16,C,323.9,16
CHS,CHS355.6x6.3,C,355.6,6.3
CHS,CHS355.6x7.1,C,355.6,7.1
CHS,CHS355.6x8,C,355.6,8
CHS,CHS355.6x10,C,355.6,10
CHS,CHS355.6x11,C,355.6,11
CHS,CHS355.6x12.5,C,355.6,12.5
CHS,CHS355.6x14.2,C,355.6,14.2
CHS,CHS355.6x16,C,355.6,16
CHS,CHS406.4x10,C,406.4,10
CHS,CHS406.4x11,C,406.4,11
CHS,CHS406.4x12.5,C,406.4,12.5
CHS,CHS406.4x14.2,C,406.4,14.2
CHS,CHS406.4x16,C,406.4,16
CHS,CHS457x10,C,457,10
CHS,CHS457x11,C,457,11
CHS,CHS457x12.5,C,457,12.5
CHS,CHS457x14.2,C,457,14.2
CHS,CHS457x16,C,457,16
CHS,CHS508x10,C,508,10
CHS,CHS508x11,C,508,11
CHS,CHS508x12.5,C,508,12.5
CHS,CHS508x14.2,C,508,14.2
CHS,CHS508x16,C,508,16


# H- or I-profile

# Category,Name,H,width,height,web thickness,flange thickness

# HEA profiles

HEA,HEA100,H,100,96,5,8
HEA,HEA120,H,120,114,5,8
HEA,HEA140,H,140,133,5.5,8.5
HEA,HEA160,H,160,152,6,9
HEA,HEA180,H,180,171,6,9.5
HEA,HEA200,H,200,190,6.5,10
HEA,HEA220,H,220,210,7,11
HEA,HEA240,H,240,230,7.5,12
HEA,HEA260,H,260,250,7.5,12.5
HEA,HEA280,H,280,270,8,13
HEA,HEA300,H,300,290,8.5,14
HEA,HEA320,H,300,310,9,15.5
HEA,HEA340,H,300,330,9.5,16.5
HEA,HEA360,H,300,350,10,17.5
HEA,HEA400,H,300,390,11,19
HEA,HEA450,H,300,440,11.5,21
HEA,HEA500,H,300,490,12,23
HEA,HEA550,H,300,540,12.5,24
HEA,HEA600,H,300,590,13,25
HEA,HEA650,H,300,640,13.5,26
HEA,HEA700,H,300,690,14.5,27
HEA,HEA800,H,300,790,15,28
HEA,HEA900,H,300,890,16,30
HEA,HEA1000,H,300,990,16.5,31
HEA,HEAA100,H,100,91,4.2,5.5
HEA,HEAA120,H,120,109,4.2,5.5
HEA,HEAA140,H,140,128,4.3,6
HEA,HEAA160,H,160,148,4.5,7
HEA,HEAA180,H,180,167,5,7.5
HEA,HEAA200,H,200,186,5.5,8
HEA,HEAA220,H,220,205,6,8.5
HEA,HEAA240,H,240,224,6.5,9
HEA,HEAA260,H,260,244,6.5,9.5
HEA,HEAA280,H,280,264,7,10
HEA,HEAA300,H,300,283,7.5,10.5
HEA,HEAA320,H,300,301,8,11
HEA,HEAA340,H,300,320,8.5,11.5
HEA,HEAA360,H,300,339,9,12
HEA,HEAA400,H,300,378,9.5,13
HEA,HEAA450,H,300,425,10,13.5
HEA,HEAA500,H,300,472,10.5,14
HEA,HEAA550,H,300,522,11.5,15
HEA,HEAA600,H,300,571,12,15.5
HEA,HEAA650,H,300,620,12.5,16
HEA,HEAA700,H,300,670,13,17
HEA,HEAA800,H,300,770,14,18
HEA,HEAA900,H,300,870,15,20
HEA,HEAA1000,H,300,970,16,21

# HEB profiles

HEB,HEB100,H,100,100,6,10
HEB,HEB120,H,120,120,6.5,11
HEB,HEB140,H,140,140,7,12
HEB,HEB160,H,160,160,8,13
HEB,HEB180,H,180,180,8.5,14
HEB,HEB200,H,200,200,9,15
HEB,HEB220,H,220,220,9.5,16
HEB,HEB240,H,240,240,10,17
HEB,HEB260,H,260,260,10,17.5
HEB,HEB280,H,280,280,10.5,18
HEB,HEB300,H,300,300,11,19
HEB,HEB320,H,300,320,11.5,20.5
HEB,HEB340,H,300,340,12,21.5
HEB,HEB360,H,300,360,12.5,22.5
HEB,HEB400,H,300,400,13.5,24
HEB,HEB450,H,300,450,14,26
HEB,HEB500,H,300,500,14.5,28
HEB,HEB550,H,300,550,15,29
HEB,HEB600,H,300,600,15.5,30
HEB,HEB650,H,300,650,16,31
HEB,HEB700,H,300,700,17,32
HEB,HEB800,H,300,800,17.5,33
HEB,HEB900,H,300,900,18.5,35
HEB,HEB1000,H,300,1000,19,36

# HEM profiles

HEM,HEM160,H,166,180,14,23
HEM,HEM180,H,186,200,14.5,24
HEM,HEM200,H,206,220,15,25
HEM,HEM220,H,226,240,15.5,26
HEM,HEM240,H,248,270,18,32
HEM,HEM260,H,268,290,18,32.5
HEM,HEM280,H,288,310,18.5,33
HEM,HEM300,H,310,340,21,39
HEM,HEM320,H,309,359,21,40
HEM,HEM340,H,309,377,21,40
HEM,HEM360,H,308,395,21,40
HEM,HEM400,H,307,432,21,40
HEM,HEM450,H,307,478,21,40
HEM,HEM500,H,306,524,21,40
HEM,HEM550,H,306,572,21,40
HEM,HEM600,H,305,620,21,40
HEM,HEM650,H,305,668,21,40
HEM,HEM700,H,304,716,21,40
HEM,HEM800,H,303,814,21,40
HEM,HEM900,H,302,910,21,40
HEM,HEM1000,H,302,1008,21,40

# British Universal Column (UC) profiles

UC,UC152x152x23,H,152.2,152.4,5.8,6.8
UC,UC152x152x30,H,152.9,157.6,6.5,9.4
UC,UC152x152x37,H,154.4,161.8,8,11.5
UC,UC203x203x46,H,203.6,203.2,7.2,11
UC,UC203x203x52,H,204.3,206.2,7.9,12.5
UC,UC203x203x60,H,205.8,209.6,9.4,14.2
UC,UC203x203x71,H,206.4,215.8,10,17.3
UC,UC203x203x86,H,209.1,222.2,12.7,20.5
UC,UC254x254x73,H,254.6,254.1,8.6,14.2
UC,UC254x254x89,H,256.3,260.3,10.3,17.3
UC,UC254x254x107,H,258.8,266.7,12.8,20.5
UC,UC254x254x132,H,261.3,276.3,15.3,25.3
UC,UC254x254x167,H,265.2,289.1,19.2,31.7
UC,UC305x305x97,H,305.3,307.9,9.9,15.4
UC,UC305x305x118,H,307.4,314.5,12,18.7
UC,UC305x305x137,H,309.2,320.5,13.8,21.7
UC,UC305x305x158,H,311.2,327.1,15.8,25
UC,UC305x305x198,H,314.5,339.9,19.1,31.4
UC,UC305x305x240,H,318.4,352.5,23,37.7
UC,UC305x305x283,H,322.2,365.3,26.8,44.1
UC,UC356x368x129,H,368.6,355.6,10.4,17.5
UC,UC356x368x153,H,370.5,362,12.3,20.7
UC,UC356x368x177,H,372.6,368.2,14.4,23.8
UC,UC356x368x202,H,374.7,374.6,16.5,27
UC,UC356x406x235,H,394.8,381,18.4,30.2
UC,UC356x406x287,H,399,393.6,22.6,36.5
UC,UC356x406x340,H,403,406.4,26.6,42.9
UC,UC356x406x393,H,407,419,30.6,49.2
UC,UC356x406x467,H,412.2,436.6,35.8,58
UC,UC356x406x551,H,418.5,455.6,42.1,67.5
UC,UC356x406x634,H,424,474.6,47.6,77


# INP profiles

INP,INP80,H,42,80,3.9,5.9
INP,INP100,H,50,100,4.5,6.8
INP,INP120,H,58,120,5.1,7.7
INP,INP140,H,66,140,5.7,8.6
INP,INP160,H,74,160,6.3,9.5
INP,INP180,H,82,180,6.9,10.4
INP,INP200,H,90,200,7.5,11.3
INP,INP220,H,98,220,8.1,12.2
INP,INP240,H,106,240,8.7,13.1
INP,INP260,H,113,260,9.4,14.1
INP,INP280,H,119,280,10.1,15.2
INP,INP300,H,125,300,10.8,16.2
INP,INP320,H,131,320,11.5,17.3
INP,INP340,H,137,340,12.2,18.3
INP,INP360,H,143,360,13,19.5
INP,INP380,H,149,380,13.7,20.5
INP,INP400,H,155,400,14.4,21.6

# IPE profiles

IPE,IPE100,H,55,100,4.1,5.7
IPE,IPE120,H,64,120,4.4,6.3
IPE,IPE140,H,73,140,4.7,6.9
IPE,IPE160,H,82,160,5,7.4
IPE,IPE180,H,91,180,5.3,8
IPE,IPE200,H,100,200,5.6,8.5
IPE,IPE220,H,110,220,5.9,9.2
IPE,IPE240,H,120,240,6.2,9.8
IPE,IPE270,H,135,270,6.6,10.2
IPE,IPE300,H,150,300,7.1,10.7
IPE,IPE330,H,160,330,7.5,11.5
IPE,IPE360,H,170,360,8,12.7
IPE,IPE400,H,180,400,8.6,13.5
IPE,IPE450,H,190,450,9.4,14.6
IPE,IPE500,H,200,500,10.2,16
IPE,IPE550,H,210,550,11.1,17.2
IPE,IPE600,H,220,600,12,19
IPE,IPEA100,H,55,98,3.6,4.7
IPE,IPEA120,H,64,118,3.8,5.1
IPE,IPEA140,H,73,138,3.8,5.6
IPE,IPEA160,H,82,157,4,5.9
IPE,IPEA180,H,91,177,4.3,6.5
IPE,IPEA200,H,100,197,4.5,7
IPE,IPEA220,H,110,217,5,7.7
IPE,IPEA240,H,120,237,5.2,8.3
IPE,IPEA270,H,135,267,5.5,8.7
IPE,IPEA300,H,150,297,6.1,9.2
IPE,IPEA330,H,160,327,6.5,10
IPE,IPEA360,H,170,357.6,6.6,11.5
IPE,IPEA400,H,180,397,7,12
IPE,IPEA450,H,190,447,7.6,13.1
IPE,IPEA500,H,200,497,8.4,14.5
IPE,IPEA550,H,210,547,9,15.7
IPE,IPEA600,H,220,597,9.8,17.5
IPE,IPEO180,H,89,182,6.4,9.5
IPE,IPEO200,H,102,202,6.2,9.5
IPE,IPEO220,H,112,222,6.6,10.2
IPE,IPEO240,H,122,242,7,10.8
IPE,IPEO270,H,136,274,7.5,12.2
IPE,IPEO300,H,152,304,8,12.7
IPE,IPEO330,H,162,334,8.5,13.5
IPE,IPEO360,H,172,364,9.2,14.7
IPE,IPEO400,H,182,404,9.7,15.5
IPE,IPEO450,H,192,456,11,17.6
IPE,IPEO500,H,202,506,12,19
IPE,IPEO550,H,212,556,12.7,20.2
IPE,IPEO600,H,224,610,15,24
IPE,IPER140,H,72,142,5.3,7.8
IPE,IPER160,H,81,162,5.6,8.5
IPE,IPER180,H,92,183,6,9
IPE,IPER200,H,98,204,6.6,10.5
IPE,IPER220,H,108,225,6.7,11.8
IPE,IPER240,H,118,245,7.5,12.3
IPE,IPER270,H,133,276,7.1,13.1
IPE,IPER300,H,147,306,8.5,13.7
IPE,IPER330,H,158,336,9.2,14.5
IPE,IPER360,H,168,366,9.9,16
