FreeCAD,IFC
App::PropertyBool,IfcBoolean:IfcLogical
App::PropertyBoolList,
App::PropertyFloat,IfcReal
App::PropertyFloatList,
App::PropertyFloatConstraint,
App::PropertyPrecision,
App::PropertyQuantity,
App::PropertyQuantityConstraint,
App::PropertyInteger,IfcInteger
App::PropertyIntegerConstraint,
App::PropertyPercent,
App::PropertyEnumeration,
App::PropertyIntegerList,
App::PropertyIntegerSet,
App::PropertyMap,
App::PropertyString,IfcLabel:IfcIdentifier:IfcText
App::PropertyPersistentObject,
App::PropertyUUID,IfcGloballyUniqueId
App::PropertyFont,IfcTextFontName
App::PropertyStringList,
App::PropertyLink,
App::PropertyLinkChild,
App::PropertyLinkGlobal,
App::PropertyLinkHidden,
App::PropertyLinkSub,
App::PropertyLinkSubChild,
App::PropertyLinkSubGlobal,
App::PropertyLinkSubHidden,
App::PropertyLinkList,
App::PropertyLinkListChild,
App::PropertyLinkListGlobal,
App::PropertyLinkListHidden,
App::PropertyLinkSubList,
App::PropertyLinkSubListChild,
App::PropertyLinkSubListGlobal,
App::PropertyLinkSubListHidden,
App::PropertyXLink,
App::PropertyXLinkSub,
App::PropertyXLinkSubHidden,
App::PropertyXLinkSubList,
App::PropertyXLinkList,
App::PropertyMatrix,
App::PropertyVector,
App::PropertyVectorDistance,
App::PropertyPosition,
App::PropertyDirection,
App::PropertyVectorList,
App::PropertyPlacement,
App::PropertyPlacementList,
App::PropertyPlacementLink,
App::PropertyRotation,
App::PropertyColor,
App::PropertyColorList,
App::PropertyMaterial,
App::PropertyMaterialList,
App::PropertyPath,
App::PropertyFile,
App::PropertyFileIncluded,
App::PropertyPythonObject,
App::PropertyExpressionEngine,
App::PropertyAcceleration,
App::PropertyAmountOfSubstance,
App::PropertyAngle,IfcPlaneAngleMeasure
App::PropertyArea,IfcAreaMeasure
App::PropertyCompressiveStrength,
App::PropertyCurrentDensity,
App::PropertyDensity,
App::PropertyDissipationRate,
App::PropertyDistance,IfcLengthMeasure
App::PropertyDynamicViscosity,
App::PropertyElectricalCapacitance,
App::PropertyElectricalConductance,
App::PropertyElectricalConductivity,
App::PropertyElectricalInductance,
App::PropertyElectricalResistance,
App::PropertyElectricCharge,
App::PropertyElectricCurrent,
