name,tpi,class,dNominal,dMajorMax,dMajorMin,dPitchMax,dPitchMin,dMinorMax,dMinorMin
0-80,80,2A,0.0600,0.0595,0.0563,0.0514,0.0496,0.0442,0.0419
1-64,64,2A,0.0730,0.0724,0.0686,0.0623,0.0603,0.0532,0.0507
1-72,72,2A,0.0730,0.0724,0.0689,0.0634,0.0615,0.0554,0.0530
2-56,56,2A,0.0860,0.0854,0.0813,0.0738,0.0717,0.0635,0.0607
2-64,64,2A,0.0860,0.0854,0.0816,0.0753,0.0733,0.0662,0.0637
3-48,48,2A,0.0990,0.0983,0.0938,0.0848,0.0825,0.0727,0.0697
3-56,56,2A,0.0990,0.0983,0.0942,0.0867,0.0845,0.0764,0.0735
4-40,40,2A,0.1120,0.1112,0.1061,0.0950,0.0925,0.0805,0.0771
4-48,48,2A,0.1120,0.1113,0.1068,0.0978,0.0954,0.0857,0.0826
5-40,40,2A,0.1250,0.1242,0.1191,0.1080,0.1054,0.0935,0.0900
5-44,44,2A,0.1250,0.1243,0.1195,0.1095,0.1070,0.0964,0.0930
6-32,32,2A,0.1380,0.1372,0.1312,0.1169,0.1141,0.0989,0.0949
6-40,40,2A,0.1380,0.1372,0.1321,0.1210,0.1184,0.1065,0.1030
8-32,32,2A,0.1640,0.1631,0.1571,0.1428,0.1399,0.1248,0.1207
8-36,36,2A,0.1640,0.1632,0.1577,0.1452,0.1424,0.1291,0.1253
10-24,24,2A,0.1900,0.1890,0.1818,0.1619,0.1586,0.1379,0.1329
10-32,32,2A,0.1900,0.1891,0.1831,0.1688,0.1658,0.1508,0.1466
1/4-20,20,2A,0.2500,0.2489,0.2408,0.2164,0.2127,0.1876,0.1819
1/4-28,28,2A,0.2500,0.2490,0.2425,0.2258,0.2225,0.2052,0.2005
5/16-18,18,2A,0.3125,0.3113,0.3026,0.2752,0.2712,0.2431,0.2370
5/16-24,24,2A,0.3125,0.3114,0.3042,0.2843,0.2806,0.2603,0.2549
3/8-16,16,2A,0.3750,0.3737,0.3643,0.3331,0.3287,0.2970,0.2902
3/8-24,24,2A,0.3750,0.3739,0.3667,0.3468,0.3430,0.3228,0.3173
7/16-14,14,2A,0.4375,0.4361,0.4258,0.3897,0.3850,0.3485,0.3410
7/16-20,20,2A,0.4375,0.4362,0.4281,0.4037,0.3995,0.3749,0.3687
1/2-13,13,2A,0.5000,0.4985,0.4876,0.4485,0.4435,0.4041,0.3961
1/2-20,20,2A,0.5000,0.4987,0.4906,0.4662,0.4619,0.4374,0.4311
9/16-12,12,2A,0.5625,0.5609,0.5495,0.5068,0.5016,0.4617,0.4503
9/16-14,14,2A,0.5625,0.5510,0.5507,0.5146,0.5096,0.4760,0.4751
9/16-16,16,2A,0.5625,0.5611,0.5517,0.5205,0.5158,0.4866,0.4773
9/16-18,18,2A,0.5625,0.5611,0.5524,0.5250,0.5205,0.4950,0.4863
9/16-20,20,2A,0.5625,0.5612,0.5531,0.5287,0.5245,0.5017,0.4937
9/16-24,24,2A,0.5625,0.5613,0.5541,0.5342,0.5303,0.5117,0.5046
9/16-32,32,2A,0.5625,0.5615,0.5555,0.5412,0.5377,0.5243,0.5185
5/8-11,11,2A,0.6250,0.6234,0.6113,0.5644,0.5589,0.5119,0.5030
5/8-18,18,2A,0.6250,0.6236,0.6149,0.5875,0.5828,0.5554,0.5486
3/4-10,10,2A,0.7500,0.7482,0.7353,0.6832,0.6773,0.6255,0.6157
3/4-16,16,2A,0.7500,0.7485,0.7391,0.7079,0.7029,0.6718,0.6644
7/8-9,9,2A,0.8750,0.8731,0.8592,0.8009,0.7946,0.7368,0.7262
7/8-14,14,2A,0.8750,0.8734,0.8631,0.8270,0.8216,0.7858,0.7776
1-8,8,2A,1.0000,0.9980,0.9830,0.9168,0.9100,0.8446,0.8330
1-12,12,2A,1.0000,0.9982,0.9868,0.9441,0.9382,0.8960,0.8869
1-1/8-7,7,2A,1.1250,1.1228,1.1064,1.0300,1.0228,0.9475,0.9348
1-1/8-12,12,2A,1.1250,1.1232,1.1118,1.0691,1.0631,1.0210,1.0118
1-1/4-7,7,2A,1.2500,1.2478,1.2314,1.1550,1.1476,1.0725,1.0596
1-1/4-12,12,2A,1.2500,1.2482,1.2368,1.1941,1.1879,1.1460,1.1366
1-3/8-6,6,2A,1.3750,1.3726,1.3544,1.2643,1.2563,1.1681,1.1536
1-3/8-12,12,2A,1.3750,1.3731,1.3617,1.3190,1.3127,1.2709,1.2614
1-1/2-6,6,2A,1.5000,1.4976,1.4794,1.3893,1.3812,1.2931,1.2785
1-1/2-12,12,2A,1.5000,1.4981,1.4867,1.4440,1.4376,1.3959,1.3863
1-3/4-5,5,2A,1.7500,1.7473,1.7268,1.6174,1.6085,1.5019,1.4854
2-6,6,2A,2.0000,1.9971,1.9751,1.8528,1.8433,1.7245,1.7065
