name,tpi,class,dMinorMin,dMinorMax,dPitchMin,dPitchMax,dMajorMin,dMajorMax
0-80,80,3B,0.0465,0.0514,0.0519,0.0536,0.06,0.0626
1-64,64,3B,0.0561,0.0623,0.0629,0.0648,0.073,0.076
1-72,72,3B,0.058,0.0635,0.064,0.0659,0.073,0.0759
2-56,56,3B,0.0667,0.0737,0.0744,0.0765,0.086,0.0893
2-64,64,3B,0.0691,0.0753,0.0759,0.0779,0.086,0.0891
3-48,48,3B,0.0764,0.0845,0.0855,0.0877,0.099,0.1026
3-56,56,3B,0.0797,0.0865,0.0874,0.0895,0.099,0.1024
4-40,40,3B,0.0849,0.0939,0.0958,0.0982,0.112,0.116
4-48,48,3B,0.0894,0.0968,0.0985,0.1008,0.112,0.1158
5-40,40,3B,0.0979,0.1062,0.1088,0.1113,0.125,0.1292
5-44,44,3B,0.1004,0.1079,0.1102,0.1126,0.125,0.129
6-32,32,3B,0.104,0.114,0.1177,0.1204,0.138,0.1426
6-40,40,3B,0.111,0.1186,0.1218,0.1243,0.138,0.1422
8-32,32,3B,0.13,0.1389,0.1437,0.1465,0.164,0.1689
8-36,36,3B,0.134,0.1416,0.146,0.1487,0.164,0.1687
10-24,24,3B,0.145,0.1555,0.1629,0.1661,0.19,0.1957
10-32,32,3B,0.156,0.1641,0.1697,0.1726,0.19,0.1952
1/4-20,20,3B,0.196,0.207,0.2175,0.22,0.25,0.2554
1/4-28,28,3B,0.211,0.219,0.2268,0.23,0.25,0.2561
5/16-18,18,3B,0.252,0.263,0.2764,0.2803,0.3125,0.3201
5/16-24,24,3B,0.267,0.2754,0.2854,0.289,0.3125,0.3196
3/8-16,16,3B,0.307,0.3182,0.3344,0.3387,0.375,0.3836
3/8-24,24,3B,0.33,0.3372,0.3479,0.3516,0.375,0.3828
7/16-14,14,3B,0.36,0.3717,0.3911,0.3957,0.4375,0.4471
7/16-20,20,3B,0.383,0.3916,0.405,0.4091,0.4375,0.4463
1/2-13,13,3B,0.417,0.4284,0.45,0.4548,0.5,0.5104
1/2-20,20,3B,0.446,0.4537,0.4675,0.4717,0.5,0.5095
5/8-11,11,3B,0.527,0.5391,0.566,0.5714,0.625,0.6373
5/8-18,18,3B,0.565,0.573,0.5889,0.5934,0.625,0.6361
3/4-10,10,3B,0.642,0.6545,0.685,0.6907,0.75,0.7638
3/4-16,16,3B,0.682,0.6908,0.7094,0.7143,0.75,0.7627
7/8-9,9,3B,0.755,0.7681,0.8028,0.8089,0.875,0.8905
7/8-14,14,3B,0.798,0.8068,0.8286,0.8339,0.875,0.8894
1-8,8,3B,0.865,0.8797,0.9188,0.9254,1,1.0173
1-12,12,3B,0.91,0.9198,0.9459,0.9516,1,1.0161
