"FOOTPRINT" "STEP FILE"
"SOT23-R" "SOT23.STP"
"SMD_C_0805-R" "0805_SMD.STP"
"SMD_C_1210-R" "1210_SMD.STP"
"SMD_R_1206-R" "1206_SMD.STP"
"SMD_C_0603-R" "0603_SMD.STP"
"SMD_R_0603-R" "0603_SMD.STP"
"MINISMDC-1812-R" "1812_SMD.STP"
"SMD_C_2225-R" "2225_SMD.STP"
"SMD_R_2512-R" "2512_SMD.STP"
"1812PS" "1812_SMD.STP"
"TSSOP8_065M-R" "TSS0P_8.STP"
"MSOP10E_LT" "MSOP_10.STP"
"TCMT11XX" "TCMT1107_4.STP"
"SMB-TB" "SMB_DO_214AA.STP"
"SOT404-GDS-R" "SOT404.STP"
"SOT428-A1-A2C-R" "SOT428_DPAK.STP"
"SOT96-1-R" "SOT_96.STP"
"SOT323-BEC-R" "SOT_323_3.STP"
"SOD523-R" "SOD_523.STP"
"SMC" "SMC_DO_214AB.STP"
"SOD523-R" "SOD_523.STP"
"TSM-104-01-L-DV" "TSM_104_01_L_DV_A.STP"
"TSM-103-01-L-DV-A" "TSM_103_01_L_DV_A.STP"
"SOD323-R" "SOD_323.STP"
"VC0603-R" "VC0603_SMD.stp"
"RLF12545" "RLF_12545.stp"
"CAPAE830X1050" "CAP_50SGV_8_10.stp"
"RLF7030-R" "RLF_7030.stp"
"EPS_B66285E" "EPL22_6_16.stp"
"EPS_B66285I" "I22_2_5_16.stp"




