name,tpi,class,dNominal,dMajorMax,dMajorMin,dPitchMax,dPitchMin,dMinorMax,dMinorMin
0-80,80,3A,0.0600,0.0600,0.0568,0.0519,0.0506,0.0447,0.0429
1-64,64,3A,0.0730,0.0730,0.0692,0.0629,0.0614,0.0538,0.0518
1-72,72,3A,0.0730,0.0730,0.0695,0.0640,0.0626,0.0560,0.0541
2-56,56,3A,0.0860,0.0860,0.0819,0.0744,0.0728,0.0641,0.0618
2-64,64,3A,0.0860,0.0860,0.0822,0.0759,0.0744,0.0668,0.0648
3-48,48,3A,0.0990,0.0990,0.0945,0.0855,0.0838,0.0734,0.0710
3-56,56,3A,0.0990,0.0990,0.0949,0.0874,0.0858,0.0771,0.0748
4-40,40,3A,0.1120,0.1120,0.1069,0.0958,0.0939,0.0813,0.0785
4-48,48,3A,0.1120,0.1120,0.1075,0.0985,0.0967,0.0864,0.0839
5-40,40,3A,0.1250,0.1250,0.1199,0.1088,0.1069,0.0943,0.0915
5-44,44,3A,0.1250,0.1250,0.1202,0.1102,0.1083,0.0971,0.0943
6-32,32,3A,0.1380,0.1380,0.1320,0.1177,0.1156,0.0997,0.0964
6-40,40,3A,0.1380,0.1380,0.1329,0.1218,0.1198,0.1073,0.1044
8-32,32,3A,0.1640,0.1640,0.1580,0.1437,0.1415,0.1257,0.1223
8-36,36,3A,0.1640,0.1640,0.1585,0.1460,0.1439,0.1299,0.1268
10-24,24,3A,0.1900,0.1900,0.1828,0.1629,0.1604,0.1389,0.1347
10-32,32,3A,0.1900,0.1900,0.1840,0.1697,0.1674,0.1517,0.1482
1/4-20,20,3A,0.2500,0.2500,0.2419,0.2175,0.2147,0.1887,0.1839
1/4-28,28,3A,0.2500,0.2500,0.2435,0.2268,0.2243,0.2062,0.2023
5/16-18,18,3A,0.3125,0.3125,0.3038,0.2764,0.2734,0.2443,0.2392
5/16-24,24,3A,0.3125,0.3125,0.3053,0.2854,0.2827,0.2614,0.2570
3/8-16,16,3A,0.3750,0.3750,0.3656,0.3344,0.3311,0.2983,0.2926
3/8-24,24,3A,0.3750,0.3750,0.3678,0.3479,0.3450,0.3239,0.3193
7/16-14,14,3A,0.4375,0.4375,0.4272,0.3911,0.3876,0.3499,0.3436
7/16-20,20,3A,0.4375,0.4375,0.4294,0.4050,0.4019,0.3762,0.3711
1/2-13,13,3A,0.5000,0.5000,0.4891,0.4500,0.4463,0.4056,0.3989
1/2-20,20,3A,0.5000,0.5000,0.4919,0.4675,0.4643,0.4387,0.4335
9/16-12,12,3A,0.5625,0.5609,0.5495,0.5068,0.5016,0.4617,0.4503
9/16-16,16,3A,0.5625,0.5625,0.5531,0.5219,0.5184,0.4880,0.4799
9/16-18,18,3A,0.5625,0.5625,0.5538,0.5264,0.5230,0.4964,0.4888
9/16-20,20,3A,0.5625,0.5625,0.5544,0.5300,0.5268,0.5030,0.4960
9/16-24,24,3A,0.5625,0.5625,0.5553,0.5354,0.5325,0.5129,0.5068
9/16-32,32,3A,0.5625,0.5625,0.5565,0.5422,0.5396,0.5253,0.5204
5/8-11,11,3A,0.6250,0.6250,0.6129,0.5660,0.5619,0.5135,0.5060
5/8-18,18,3A,0.6250,0.6250,0.6163,0.5889,0.5854,0.5568,0.5512
3/4-10,10,3A,0.7500,0.7500,0.7371,0.6850,0.6806,0.6273,0.6190
3/4-16,16,3A,0.7500,0.7500,0.7406,0.7094,0.7056,0.6733,0.6671
7/8-9,9,3A,0.8750,0.8750,0.8611,0.8028,0.7981,0.7387,0.7297
7/8-14,14,3A,0.8750,0.8750,0.8647,0.8286,0.8245,0.7874,0.7805
1-8,8,3A,1.0000,1.0000,0.9850,0.9188,0.9137,0.8466,0.8367
1-12,12,3A,1.0000,1.0000,0.9886,0.9459,0.9415,0.8978,0.8902
