name,pitch,tol,dMinorMin,dMinorMax,dPitchMin,dPitchMax,dMajorMin,dMajorMax
M1.6 x 0.35,0.35,6H,1.221,1.321,1.373,1.458,1.6,1.736
M2 x 0.4,0.4,6H,1.567,1.679,1.74,1.83,2,2.148
M2.5 x 0.45,0.45,6H,2.013,2.138,2.208,2.303,2.5,2.66
M3 x 0.5,0.5,6H,2.459,2.599,2.675,2.775,3,3.172
M3.5 x 0.6,0.6,6H,2.85,3.01,3.11,3.222,3.5,3.698
M4 x 0.7,0.7,6H,3.242,3.422,3.545,3.663,4,4.219
M5 x 0.8,0.8,6H,4.134,4.334,4.48,4.605,5,5.24
M6 x 1,1,6H,4.917,5.153,5.35,5.5,6,6.294
M8 x 1,1,6H,6.917,7.153,7.35,7.5,8,8.294
M8 x 1.25,1.25,6H,6.647,6.912,7.188,7.348,8,8.34
M10 x 0.75,0.75,6H,9.188,9.378,9.513,9.645,10,10.24
M10 x 1,1,6H,8.917,9.153,9.35,9.5,10,10.294
M10 x 1.25,1.25,6H,8.647,8.912,9.188,9.348,10,10.34
M10 x 1.5,1.5,6H,8.376,8.676,9.026,9.206,10,10.397
M12 x 1,1,6H,10.917,11.153,11.35,11.51,12,12.304
M12 x 1.25,1.25,6H,10.647,10.912,11.188,11.368,12,12.36
M12 x 1.5,1.5,6H,10.376,10.676,11.026,11.216,12,12.407
M12 x 1.75,1.75,6H,10.106,10.441,10.863,11.063,12,12.452
M14 x 1.5,1.5,6H,12.376,12.676,13.026,13.216,14,14.407
M14 x 2,2,6H,11.835,12.21,12.701,12.913,14,14.501
M15 x 1,1,6H,13.917,14.153,14.35,14.51,15,15.304
M16 x 1.5,1.5,6H,14.376,14.676,15.026,15.216,16,16.407
M16 x 2,2,6H,13.835,14.21,14.701,14.913,16,16.501
M17 x 1,1,6H,15.917,16.153,16.35,16.51,17,17.304
M18 x 1.5 ,1.5,6H,16.376,16.676,17.026,17.216,18,18.407
M20 x 1,1,6H,18.917,19.153,19.35,19.51,20,20.304
M20 x 1.5,1.5,6H,18.376,18.676,19.026,19.216,20,20.407
M20 x 2.5,2.5,6H,17.294,17.744,18.376,18.6,20,20.585
M22 x 1.5,1.5,6H,20.376,20.676,21.026,21.216,22,22.407
M22 x 2.5,2.5,6H,19.294,19.744,20.376,20.6,22,22.585
M24 x 2,2,6H,21.835,22.21,22.701,22.925,24,24.513
M24 x 3,3,6H,20.752,21.252,22.051,22.316,24,24.698
M25 x 1.5,1.5,6H,23.376,23.676,24.026,24.226,25,25.417
M27 x 2,2,6H,24.835,25.21,25.701,25.925,27,27.513
M27 x 3,3,6H,23.752,24.252,25.051,25.316,27,27.698
M30 x 1.5,1.5,6H,28.376,28.676,29.026,29.226,30,30.417
M30 x 2,2,6H,27.835,28.21,28.701,28.925,30,30.513
M30 x 3.5,3.5,6H,26.211,26.771,27.727,28.007,30,30.786
M33 x 2,2,6H,30.835,31.21,31.701,31.925,33,33.513
M35 x 1.5,1.5,6H,33.376,33.676,34.026,34.226,35,35.417
M36 x 2,2,6H,33.835,34.21,34.701,34.925,36,36.513
M36 x 4,4,6H,31.67,32.27,33.402,33.702,36,36.877
M39 x 2,2,6H,36.835,37.21,37.701,37.925,39,39.513
M40 x 1.5,1.5,6H,38.376,38.676,39.026,39.226,40,40.417
M42 x 2,2,6H,39.835,40.21,40.701,40.925,42,42.513
M42 x 4.5,4.5,6H,37.129,37.799,39.077,39.392,42,42.964
M45 x 1.5,1.5,6H,43.376,43.676,44.026,44.226,45,45.417
M48 x 2,2,6H,45.835,46.21,46.701,46.937,48,48.525
M48 x 5,5,6H,42.587,43.297,44.752,45.087,48,49.056
M50 x 1.5,1.5,6H,48.376,48.676,49.026,49.238,50,50.429
M55 x 1.5,1.5,6H,53.376,53.676,54.026,54.238,55,55.429
M56 x 2,2,6H,53.835,54.21,54.701,54.937,56,56.525
M56 x 5.5,5.5,6H,50.046,50.796,52.428,52.783,56,57.149
M60 x 1.5,1.5,6H,58.376,58.676,59.026,59.238,60,60.429
M64 x 2,2,6H,61.835,62.21,62.701,62.937,64,64.525
M64 x 6,6,6H,57.505,58.305,60.103,60.478,64,65.241
M65 x 1.5,1.5,6H,63.376,63.676,64.026,64.238,65,65.429
M70 x 1.5,1.5,6H,68.376,68.676,69.026,69.238,70,70.429
M72 x 2,2,6H,69.835,70.21,70.701,70.937,72,72.525
M72 x 6,6,6H,65.505,66.305,68.103,68.478,72,73.241
M75 x 1.5,1.5,6H,73.376,73.676,74.026,74.238,75,75.429
M80 x 1.5,1.5,6H,78.376,78.676,79.026,79.238,80,80.429
M80 x 2,2,6H,77.835,78.21,78.701,78.937,80,80.525
M80 x 6,6,6H,73.505,74.305,76.103,76.478,80,81.241
M85 x 2,2,6H,82.835,83.21,83.701,83.937,85,85.525
M90 x 2,2,6H,87.835,88.21,88.701,88.937,90,90.525
M90 x 6,6,6H,83.505,84.305,86.103,86.478,90,91.241
M95 x 2,2,6H,92.835,93.21,93.701,93.951,95,95.539
M100 x 2,2,6H,97.835,98.21,98.701,98.951,100,100.539
M100 x 6,6,6H,93.505,94.305,96.103,96.503,100,101.266
M105 x 2,2,6H,102.835,103.21,103.701,103.951,105,105.539
M110 x 2,2,6H,107.835,108.21,108.701,108.951,110,110.539
M120 x 2,2,6H,117.835,118.21,118.701,118.951,120,120.539
M130 x 2,2,6H,127.835,128.21,128.701,128.951,130,130.539
M140 x 2,2,6H,137.835,138.21,138.701,138.951,140,140.539
M150 x 2,2,6H,147.835,148.21,148.701,148.951,150,150.539
M160 x 3,3,6H,156.752,157.252,158.051,158.351,160,160.733
M170 x 3,3,6H,166.752,167.252,168.051,168.351,170,170.733
M180 x 3,3,6H,176.752,177.252,178.051,178.351,180,180.733
M190 x 3,3,6H,186.752,187.252,188.051,188.386,190,190.768
M200 x 3,3,6H,196.752,197.252,198.051,198.386,200,200.768
